from,to
Nathaniel C. Wyeth,Andrew Wyeth
Richard Rodney Bennett,Karlheinz Stockhausen
Leo Lionni,Fabio Coen
Maurice Richard,Elmer Lach
Peter B. Lewis,Warren E. Buffett
John Wesley Rice Jr.,George W. Bush
Ethel Merman,Ernest Borgnine
Beatrice Lees,Paul Sills
Morton White,Thomas Jefferson
James Ford,Peter Reed
Johnny Gimble,Ray Price
William H. Gray III,Robert N. C. Nix Sr
Jan Murray,Sid Caesar
Harold M. Esty,Anita Loos
Richard Allen Horovitz,Melvin Dixon
Jack Hooke,Juggy Gayles
Jay Livingston,Martha Tilton
Eugene T. Gregorie,Henry Ford
Gordon Davidson,Paul Mazursky
Snoo Wilson,Malcolm Bradbury
Emil Lence,Floyd Patterson
Allan Dwan,Shirley Temple
David Axelrod,Hugh L. Carey
Samuel M. Kootz,Meyer Schapiro
Larry Siegfried,Bill Russell
Robert Shippen Lewis,Helen Smith
Edith Head,Audrey Hepburn
John F. Mehegan,Dave Brubeck
Dan Hicks,Jimmy Buffett
Sheb Wooley,Hee Haw
John D. Loudermilk,Kitty Wells
Christopher Koch,Neil Davis
Christopher Boatwright,Merce Cunningham
Arthur Benfield,John Kilbride
Jack O'Neill,Bob Meistrell
James Karr,Bill Cratty
James Charles Corman,Lyndon B. Johnson
Ellis Larkins,Barney Josephson
Robert Farnon,Henry Mancini
Manny Roth,Bill Cosby
Milton J. Petrie,Alan C. Greenberg
Gaston Defferre,Francois Mitterrand
David Kirschenbaum,Henry Bradley Martin
Robert A. Mead,Gerald R. Ford
Maria Tallchief,Galina Ulanova
Jerry Sterner,David Groh
Charles Blitzer,Woodrow Wilson
Yitzhak Ahronovitch,Paul Newman
Richard Merkin,Peter Blake
Georges Lautner,Lino Ventura
Rose Maddox,Jean Shepherd
William H. Rehnquist,George W. Bush
J. Carter Brown,Thomas Hoving
John G. Benedict,Adrienne Rich
The Belgian-American,Dizzy Gillespie
Gregory B. Shuker,Emmy Award
Benjamin B. Selvin,Frank Sinatra
Adolph Caesar,Dramatic Arts
Ms. Fichandler,George Grizzard
Jascha Heifetz,Leopold Godowsky
William Bradford Huie,James Earl Ray
Shirley Temple Black,Shirley Temple
Alan Simpson,Sarah Gibson Blanding
Kazuo Ohno,Tatsumi Hijikata
Toru Takemitsu,Aaron Copland
A. C. Bostwick,Ogden Phipps
Charles McCabe,Herb Caen
Frank Gatski,Dante Lavelli
Jane Harvey,Benny Goodman
Morton Downey,Franklin D. Roosevelt
Edward Dmytryk,Robert Young
Irving L. Goldberg,Robert S. Strauss
Jack Palance,Richard Widmark
Irv Kupcinet,Franklin D. Roosevelt
Patricia Peardon,Richard Horner
Bernard G. Segal,Robert F. Kennedy
Carl Hovgard,William J. Casey
Bob Patino,Willi Smith
Caleb Gattegno,Jean Piaget
Jim O'Toole,Roger Maris
Marshall T. Meyer,Raul Alfonsin
Adrian W. DeWind,John F. Kennedy
Lillian Bronson,Perry Mason
Beatrice Lees,Mike Nichols
Stan Freberg,Harry Belafonte
Phil Chess,Dale Hawkins
Richard L. Murphy,Richard Murphy
Don Nicholl,Bernie West
Alistair MacLean,Anthony Quinn
Huston Smith,Roderick Ninian Smart
Lewis L. Mathe,Monte Carlo
Donald Judd,Robert Morris
John Henry Faulk,Ruby Dee
Robert L. Drew,Bill Haley
May O'Donnell,Gertrude Shurr
Adrienne Rich,Audre Lorde
Teresa Sterne,Paul Jacobs
Jayne Meadows,Katharine Hepburn
Kay Starr,Rosemary Clooney
Harvey Johnson,Lou Saban
Terry Dintenfass,Richard Hunt
John Frankenheimer,Lyndon B. Johnson
Edward Bunker,William Styron
John Michael Dunn,Spiro T. Agnew
Rita Dimitri,Gilbert Becaud
Sonny Sharrock,Ronald Shannon Jackson
Chelsea Brown,Redd Foxx
Stan Musial,Roy Campanella
Louis Neel,Hannes Alfven
Phillip Hayes Dean,Louis Peterson
Murray L. Weidenbaum,Lyndon B. Johnson
Marc Hodler,James Bond
Paul Stewart,Howard Koch
John Weber,Andy Warhol
Hal David,Perry Como
Susie Marshall Sharp,Terry Sanford
Basil Langton,Henry Moore
Alexander H. Cohen,Marlene Dietrich
John D. Backe,Arthur R. Taylor
Ernest C. Withers,Elvis Presley
Alec Guinness,David Lean
John Gagnon,William Simon
Reginald Cabral,Claes Oldenburg
Mildred Cohn,Oprah Winfrey
James W. B. Benkard,George Bush
Alexander Alexay,Marian Anderson
Clark M. Clifford,Bert Lance
Lloyd L. Brown,Langston Hughes
Donald Driver,Dustin Hoffman
Eugene Ionesco,Joseph Anthony
Carolyn Cassady,Allen Ginsberg
Arthur Winograd,Robert Koff
Trude Wenzel Lash,Joseph P. Lash
Dick O'Connell,Tony Conigliaro
Mary Rolfe,William Prince
Thelma Glass,Rosa Parks
Dick Kazmaier,Stan Musial
Alice Faye,John Payne
Sam Salz,William S. Paley
Gardner Cox,Byron R. White
Irving Kristol,Hannah Arendt
Erik Barnouw,Sheldon Meyer
Clement J. Zablocki,Dante B. Fascell
Vernon Handley,Adrian Boult
Gladys Shelley,Irving Rosenthal
Faith Seidenberg,Joseph Mitchell
Vincent T. Bugliosi,John F. Kennedy
Mick Farren,David Frost
Alfred A. Knopf,Alistair Cooke
Fleur Cowles,Lucian Freud
Bert Parks,Johnny Carson
James Stacy,Sam Wanamaker
Leo Castelli,Robert Morris
Philip L. Geyelin,Katharine Graham
Edward L. R. Elson,Lyndon B. Johnson
Roosevelt S. Zanders,Danny Kaye
Beverlee McKinsey,Arthur Hill
Alex Armendaris,Richard M. Nixon
Ketti Frings,Lillian Gish
Barbara Stuart,Stella Adler
Paul Bacon,Alfred A. Knopf
George P. Monaghan,Vincent R. Impellitteri
Harold Benjamin,Gilda Radner
Robert Sherrill,Richard M. Nixon
Charles O'Neal,Abe Burrows
H. M. Koutoukas,Doric Wilson
Irving Shulman,Stewart Stern
John XXIII,John Paul II
Eddie Cotton,Archie Moore
Ray Singer,Bing Crosby
Lawrence Martin Jenco,Thomas Sutherland
Walter J. McNerney,Lyndon B. Johnson
Theodore H. White,James Reston
Ken Annakin,John Mills
Chris Dundee,Ezzard Charles
Don Helms,Fred Rose
Gladys Nederlander,Arthur Miller
Billy Sullivan,John F. Kennedy
Ralph Kiner,Lindsey Nelson
Wallace Carroll,John S. Carroll
Elliott Kastner,Peter Shaffer
Tullia Zevi,Bruno Zevi
Bruce Savan,Carol Burnett
Gene Saks,Peter Sellers
Howard Marks,Elvis Presley
Max E. Youngstein,Henry Fonda
Jacques Demy,Jeanne Moreau
Virginia Christine,Errol Flynn
Harriet Fleischl Pilpel,Benjamin Spock
John W. Gardner,John Gardner
Ms. Fichandler,Garland Wright
Jean Howard,Ginger Rogers
Fred Speaker,Raymond P. Shafer
Harvey T. Boyd,Sonia Rykiel
Lowell Fulson,Elvis Presley
Al Hirt,Ray McKinley
Garry Marshall,Jerry Belson
Metropolitan Laurus,Vladimir V. Putin
Samuel Fuller,Bosley Crowther
Marvin Hamlisch,Michael Bennett
Roy Budd,Antonio Carlos Jobim
Robert Goulet,Alan Jay Lerner
Alfred F. Moran,John C. Willke
Robert Cox,Salvador Dal
Fiorenzo Magni,Gino Bartali
Richard Conway Casey,Bill Clinton
Joseph L. Block,Richard M. Nixon
Paul Henning,Buddy Ebsen
Helen Beardsley,Lucille Ball
Ron Moody,Buenos Aires
Lorin Maazel,Leonard Bernstein
Joe Frazier,Norman Mailer
Inna Zubkovskaya,John Martin
Kenneth S. Goldstein,Sonny Terry
Palden Thondup Namgyal,John Kenneth Galbraith
Abner I. Weisman,Marilyn Monroe
Robert M. Weitman,Bing Crosby
Richard Helms,Frank Church
Lee Richardson,Hume Cronyn
Michael A. W. Evans,Ronald Reagan
Charles Bronson,Joseph R. McCarthy
Harry V. Jaffa,Barry M. Goldwater
Kyriena Siloti,Eugene Istomin
Morris Milgram,James Farmer
Herbert Warren Wind,Bob Jones
H. Gary Morse,George W. Bush
Harry Cooper,Ben Hogan
Irvin Feld,Frank Sinatra
George Brecht,Nam June Paik
Joyce Jillson,Donald T. Regan
Steve Backer,Cecil Taylor
Librado Hernandez Chavez,Cesar Chavez
John Vaccaro,Charles Ludlam
John A. Morris,Woody Stephens
Ivan Karp,Robert Rauschenberg
Lester Bangs,Paul Nelson
Edna Morris,John A. Morris
Linda Boreman,Mike McGrady
Mitchell Livingston,Larry Flynt
Patsy Rowlands,Lindsay Anderson
Phyllis Frelich,Tony Award
Mary Burke Nicholas Washington,Edward I. Koch
Joe Bushkin,Jo Jones
Ray B. Browne,Tiny Tim
Angelo Litrico,Rossano Brazzi
George M. Ross,Barbra Streisand
Benjamin A. Gilman,Bill Clinton
Maurice Rosenfield,Tony Award
Edward S. Lentol,Nelson A. Rockefeller
Norbert Brainin,Clifford Curzon
Sidney Lumet,Henry Fonda
Victor Mature,Pauline Kael
Hugh Alexander,Allie Reynolds
Moe Biller,Jimmy Carter
Andrei A. Gromyko,Franklin D. Roosevelt
Sam Church,Arnold R. Miller
Claude Chabrol,Eric Rohmer
George Senesky,Tom Gola
Donald P. Lay,Debbie Ford
David Baker,George Russell
Melvin R. Laird,Henry M. Jackson
Colin Dexter,John Thaw
Roger L. Stevens,Robert Whitehead
Daniel Melnick,Sidney Lumet
L. M. Kit Carson,Wes Anderson
Deng Xiaoping,Hua Guofeng
Anthony Francis Shannon,Sylvan Fox
Mendes Hershman,Nelson A. Rockefeller
Edwin Singer,Corpus Christi
William Ash,George Coe
Oleg A. Troyanovsky,Aleksei N. Kosygin
T. S. Matthews,Thomas Griffith
Jane Hoffman,Edward Albee
Don Gordon,Paul Newman
Agent Orange,Elmo R. Zumwalt Jr.
William Dale Jennings,Harry Hay
Robert Treuhaft,Oswald Mosley
Haila Stoddard,Elaine Stritch
Riccardo Cassin,John F. Kennedy
Bill Shadel,Walter Cronkite
Christopher Fry,Deborah Kerr
Peter Viertel,Clint Eastwood
Jacques Medecin,Raymond Barre
Rogers E.M. Whitaker,John Haber
Robert Tuggle,Rudolf Bing
George L. Haskins,John Marshall
Carmen Basilio,Billy Graham
Mary Lou Williams,Whitney Balliett
Howard Rollins,Rod Steiger
Lezly Ziering,Natalie Wood
Jean Despres,John Gould
Jim Davis,Ann Sothern
Wilfrid Sheed,Tom Wolfe
David M. Kennedy,John F. Kennedy
Cy Endfield,Michael Caine
Gian Maria Volonte,Leonardo Sciascia
Flemming Flindt,Rudolf Nureyev
Barney Tobey,John Russell
Al Neuharth,David Hall
Susan Strasberg,Lee Strasberg
Ben Hogan,Byron Nelson
Stan Kenton,Phil Woods
Buddy Lester,Dean Martin
Andy Seminick,Hank Thompson
Dennis Sandole,Michael Brecker
Elliot Martin,Vincent Gardenia
Kitty Buck,Michael Todd
Marcelo Bonevardi,Buenos Aires
Lennox Miller,John Smith
Samuel Z. Arkoff,Christopher Jones
Elaine Ford,John Hawkes
Isaac Witkin,Henry Moore
Rex Everhart,Howard Taubman
John J. Santucci,Hugh L. Carey
Barbara Gelb,Arthur Gelb
Milt Hinton,Frank Sinatra
Stanley K. Sheinbaum,Yasir Arafat
Ronald Reagan,Gottfried Haberler
Saul Zaentz,Stan Getz
Otto Lambsdorff,Helmut Schmidt
Jack Nelson,Howard Johnson
Tony Scott,Harry Belafonte
Michel Jouvet,Eugene Aserinsky
David Lloyd Kreeger,Isaac Stern
Michel Vitold,Jean Anouilh
Dean Jagger,James Franciscus
Russ Meyer's,John Waters
Bobby Avila,Chico Carrasquel
Richard F. Pedersen,John F. Kennedy
George Oppen,Mary Oppen
Harry L. Sears,William T. Cahill
Janine Charrat,Jean Babile
Billy Bauer,Benny Goodman
Samuel H. Beer,John F. Kennedy
Charles H. Schneer,Laurence Olivier
Arlene Eisenberg,Harry Scharaga
David Ignatow,Ralph J. Mills
Ann Sothern,Katharine Hepburn
Mary Moody Northen,Mark White
Mel Stuart,Gene Wilder
Anna Lee,Sandra Dee
David Otis Fuller,Robert Gage
Joseph Durso,Joe DiMaggio
Richard H. Bauman,Jean Stapleton
Murray Klein,Woody Allen
Mel Powell,Elliott Carter
George Edmund Sandell,William Primrose
Charles M. Lichenstein,Barry Goldwater
Presidents Kennedy,John F. Kennedy
Beverly Suser Grunwald,Tennessee Williams
Bernard Perlin,Stuart Preston
Clifton W. Phalen,Nelson A. Rockefeller
Elaine Kaufman,Clay Felker
Bruce Langhorne,Babatunde Olatunji
Carol Perkins,Carrie Fisher
Rachael Dunaven Yocom,Dudley Williams
Elisabeth Frink,Queen Elizabeth II
Zhou Youguang,Mao Zedong
Augusta Wales Thomas,Mary Green
Gil Noble,Sammy Davis Jr.
Robert Riger,John Szarkowski
Mary Bancroft Boulton,Schroeder Boulton
Arlene Eisenberg,Benjamin Spock
Stewart Stern,Marlon Brando
Gerre Hancock,Robert Baker
Jim Dickinson,Willy DeVille
Maurice Richard,Clarence Campbell
Leslie Midgley,Eric Sevareid
David G. Hartwell,Frank Herbert
Sarah Brady,James S. Brady
H. Fenwick,Ronald Reagan
Tompall Glaser,Waylon Jennings
Bennie Oosterbaan,Benny Friedman
Herbert Katzman,Robert Gwathmey
Johnny Podres,Yogi Berra
Robert W. Russell,Jackie Gleason
Rokusuke Tanaka,Masayoshi Ohira
Lester Lewis,Shari Lewis
Eugene Allen,John F. Kennedy
Bernard Stollman,Gato Barbieri
Benny Goodman,Mel Powell
Adrienne Rich,Betty Friedan
Rainer Barzel,Gerhard Schroder
Eduardo Mata,Max Rudolf
Lynne Carter,Hermione Gingold
Blanche Moyse,Louis Moyse
Ellsworth Kelly,Louise Nevelson
J. Russell Wiggins,Katharine Graham
Peter Lawrence,Leonard Bernstein
Anthony Howard,Harold Wilson
George Cleve,Richard Strauss
Dame Alicia Markova,Queen Elizabeth II
Bill MacPhail,Frank Gifford
George Bosque,Art Deco
Elizabeth Snapp,Irwin Bazelon
Rita Hayworth,James Hill
Gert Frobe,James Bond
Lew R. Wasserman,Henry Fonda
Sam DeLuca,Joe Namath
Shag Crawford,Frank Pulli
Jimmy Caras,Willie Mosconi
Frank Reynolds,Peter Jennings
Jerry Falwell,Joseph Sobran
Lewis F. Powell Jr.,Robert E. Lee
Victor Posner,James W. Michaels
Isabel Bigley,Arthur Godfrey
Elliot Bredhoff,Arthur J. Goldberg
Tony Sheridan,John Lennon
Chana Mlotek,Isaac Bashevis Singer
Joshua Finkel,Donald Finkel
Peter Mansfield,Queen Elizabeth II
Stirling Silliphant,Sidney Poitier
Jean Rouch,Claude Chabrol
Tony Leswick,Doug Harvey
Helen Wills Moody,Alice Marble
Walter Frentz,Albert Speer
Verne Orr,Ronald Reagan
Larry Rivers,Lyndon B. Johnson
Gerald R. Ford,Barry Goldwater
Dick Wagner,Sparky Anderson
Paul R. Reynolds,Howard Fast
Lana Turner,Robert Taylor
Genia Robinor,Eugene Ormandy
Ann Sneed,Lionel Hampton
Janis Carter,Ethel Merman
Lee Theodore,Jerome Robbins
Barbara Jordan,Richard M. Nixon
Bud Collins,Abbie Hoffman
Hilton Kramer,John Canaday
Budd Boetticher,Robert Stack
Mount Sinai Medical Center,Henry Miller
George Jackson,James Brown
Freddie Fields,Jackie Gleason
George Starbuck,George W. Beiswanger
Leslie Smith,Jack Odell
Frank D. Gilroy,Charles Bronson
William M. Judd,Eleanor Steber
Sammy Davis Jr.,John F. Kennedy
Elaine Dannheisser,Agnes Martin
Arianna Forster,Joe Strummer
Pete Candoli,Ella Fitzgerald
Jack Mitchell,Anthony Quinn
Rosamond Bernier,Leonard Bernstein
Philip Henry Alston Jr.,John Moore
Gaylord A. Nelson,John F. Kennedy
Ray Barretto,Yusef Lateef
Cristina Bozzo,Andy Warhol
Herbert Huncke,Allen Ginsberg
Stanley Kubrick,Arthur C. Clarke
James R. Dumpson,Abraham D. Beame
Eudora Welty,Katherine Anne Porter
Trisha Brown,John Cage
Alfred Eisenstaedt,George Bernard Shaw
James Farmer,Ku Klux Klan
Ernesto Ramirez Alonso,Luis Bunuel
Harold T. Sakata,Guy Hamilton
Connie Kay,Ray Charles
Corinna Reiman Marsh,William F. Buckley Jr.
Goodhue Livingston Jr.,Robert Moses
Donald Michie,Anne McLaren
Joe Jones,John Lennon
Grace Halsell,Lyndon B. Johnson
Ellen Stewart,Joseph Papp
Andy Warhol,Jimmy Carter
Harold H. Saunders,Jimmy Carter
Stewart Granger,Jean Simmons
Gerry Neugebauer,Robert B. Leighton
Eve Arnold,James Cagney
Anna Scarpova Youskevitch,Igor Youskevitch
Ellen Stewart,Harold Pinter
Louis S. Goodman,Alfred G. Gilman
Charles J. Hitch,Ronald Reagan
Viveca Lindfors,Ronald Reagan
Harold Washington,Bernard E. Epton
Chris Cornell,Layne Staley
John Francis Whealon,John XXIII
Hayden Carruth,James Dickey
Liz Renay,Marilyn Monroe
Nina Fonaroff,Isadora Duncan
William H. Latham,Robert Moses
George Barrett,John Hohenberg
Douglas Fairbanks Jr.,Queen Elizabeth II
Clark M. Clifford,Phil G. Goulding
Stanley Kramer,Vincent Canby
Jack Good,Billy Preston
Sunil K. Roy,David Challinor
Raoul Berger,Forrest McDonald
Mary Hinkson,John Butler
Anita Loos,Greta Garbo
Sally Gracie,Martin Ritt
Elizabeth Wilson,Lee Remick
Andrew G. Clauson Jr.,Vincent R. Impellitteri
Owen Hartley,Charles Goldstein
White Hunter,Max Hunter
O'Neill Jr.,Edward M. Kennedy
Ruth Lewis Farkas,Gerald R. Ford
Roger John Tayler,Fred Hoyle
William Lee Miller,Jimmy Carter
Mandy Rice-Davies,John Profumo
Andrew Porter,William Shawn
Bernard Katz,Julius Axelrod
Jack Brickhouse,Harry Caray
Goldwater Memorial Hospital,Charlie Parker
Edgar Vincent,Anna Moffo
Alexander Saxton,Eric Foner
Arthur Tracy,John S. Wilson
Jerome B. Zerbe,Brendan Gill
Jerome K. Ohrbach,Paul Newman
Robert Slutzky,Philip Johnson
Joseph Frank,Hilton Kramer
Gordon P. Franklin,Mollie Parnis
Bowie Kuhn,Monte Irvin
Elena Verdugo,Robert Young
N. Eldon Tanner,Spencer W. Kimball
Maurice Sendak,Isaac Bashevis Singer
Midge Turk Richardson,Anita Caspary
Angus Cameron,Norman Mailer
Howard Moss,Galway Kinnell
George Crile,Jack Anderson
Jack Tilton,Franklin D. Roosevelt
Tom Ewell,Marilyn Monroe
Bentley Stone,Ruth Page
William Clay Ford,Barry Goldwater
Bob Keane,Buddy Holly
Harold Pierson,Matt Mattox
Mary Keefe,Joe Franklin
George Seldes,Timothy Seldes
Alva Myrdal,Olof Palme
Sam Jaffe,Stanley Kubrick
Madeleine Carroll,Sterling Hayden
Lewis Rudin,Burton B. Roberts
William V. Shannon,Robert S. Allen
Loften Mitchell,Josephine Premice
Howard Kaminsky,Alfred A. Knopf
Alvin P. Adams Jr.,George Bush
Marvin Barnes,Muhammad Ali
Al Rosen,Ralph Kiner
Suso Cecchi D'Amico,Carlo Ponti
Patrick J. Frawley Jr.,Richard M. Nixon
John Presper Eckert,Lyndon B. Johnson
Patty Duke,Sidney Sheldon
Paul M. Weyrich,William F. Buckley Jr.
Dennis Sandole,Charlie Barnet
Barbara Baxley,Sanford Meisner
R.L. Burnside,Muddy Waters
Jason Miller,Allen Ginsberg
Roger MacDougall,Alec Guinness
Bo Diddley,Joe Strummer
Jim Karayn,Gerald R. Ford
C. Dickerman Williams,William F. Buckley Jr.
Leo-Arthur Kelmenson,John Paul II
Bruno Bernard,Marilyn Monroe
Shep Fields,Bob Hope
Herb Ellis,Stan Getz
Lee Strasberg,Tennessee Williams
Eddie Feigner,Harmon Killebrew
Count Basie's,Mary Lou Williams
Calvin Simmons,Kurt Herbert Adler
Frankie Michaels,Dean Martin
Nicholas E. Davies,Jimmy Carter
John L. Hess,Karen Hess
Riley D. Housewright,Joshua Lederberg
Freddie Moore,Eubie Blake
Buddy Harman,Carl Smith
Warren M. Christopher,George W. Bush
Bert Lance,Walter F. Mondale
Donald Bevan,Walter Cronkite
Dodo Marmarosa,Leonard Feather
Charles Samuel Joelson,Lyndon B. Johnson
Mac Morgan,Peggy Lee
John Hoyt,Fanny Brice
Simon Michael Bessie,Aleksandr Solzhenitsyn
Ellsworth Vines,Don Budge
Gino P. Santi,Howard Hughes
Robin Chandler Duke,Doris Duke
Zena Rommett,Melissa Hayden
Darcy O'Brien,Marguerite Churchill
Pat Kavanagh,Richard Burton
Paul Kantner,Pete Seeger
George A. Smathers,Claude Pepper
Raymond A. Brown,Richard J. Hughes
William Aramony,Saul Bass
George P. Oslin,Walter Winchell
Gilberto Zaldivar,Fidel Castro
Elizabeth Sargent,Marilyn Monroe
Herbert E. Abrams,Jimmy Carter
Wes Westrum,Jim Hearn
Frank A. Gulotta,Thomas E. Dewey
Thomas S. Foley,Bill Clinton
Anne Francine,Helen Hayes
M. Abbott Van Nostrand,Samuel Beckett
Theodore X. Barber,Stony Brook
Youri Egorov,Olivier Messiaen
M. Williams,Thomas Eisner
Gen. William C. Westmoreland,James M. Gavin
Devereux Milburn Jr.,Warren E. Burger
Rodney Whitaker,James Bond
Wild Man Fischer,Frank Zappa
Janice Rule,James Stewart
Nicholas C. Forstmann,William Brian Little
Green Lantern,Carmine Infantino
That Man,Alan Bates
Eddie Layton,Robert Merrill
Carol Brown Janeway,Alfred A. Knopf
Bernard Ashley,Laura Ashley
Randolph Carter Harrison,John V. Lindsay
Myroslav Ivan Lyubachyvsky,John Paul II
Danny Arnold,Dean Martin
Otto John Teegen,Art Deco
Milt Pappas,Steve Barber
Theodore Draper,Fidel Castro
Joe Kleinerman,Fred Lebow
Ursule Molinaro,Nathalie Sarraute
Hillard Elkins,William Gibson
Lawrence R. Bailey Sr,Nelson A. Rockefeller
Lino Lacedelli,Achille Compagnoni
Phillip V. Tobias,Stony Brook
Timothy Diener,Alfred Fromm
Charles Neider,Marlon Brando
Brian Roylance,Derek Taylor
Eleanore Griffin,Mickey Rooney
Sam Salz,John D. Rockefeller
Al Martino,Frank Sinatra
Gary Lisz,George Balanchine
Les Brown,Steve Allen
George Papadopoulos,Phillips Talbot
Toby Lelyveld,Arthur J. Lelyveld
Chris Connor,Chet Baker
Ian Ballantine,John Steinbeck
Dorothy Tutin,Harold Clurman
Dan Devine,Joe Paterno
Marshall Frady,Fidel Castro
Hume Cronyn,Lynn Fontanne
Angelo Litrico,Harold Macmillan
Abraham H. Lass,Eugene S. Wilson
Bob Johnston,Johnny Cash
Joseph Papp,Michael Bennett
Howard Cady,Walter Lord
Pinetop Perkins,Gregg Allman
Eddie Stanky,Alvin Dark
Leonard Spigelgass,Cary Grant
John Fairchild,Jacqueline Kennedy
Charles D. Kelman,Johnny Carson
Mary Jayne Gold,Hannah Arendt
George Packer Berry,Elizabeth Duncan
Eddie N. Williams,Dean Rusk
David Frye,Billy Graham
Bobby Williams,Frank Tripucka
Tony Williams,Andrew Hill
Edward Bland,Lionel Hampton
Blondell Cummings,Grace Paley
Oleg Ivanovsky,John F. Kennedy
Daniel Z. Henkin,Lyndon B. Johnson
Charles Higham,Bette Davis
Timothy Seldes,Saul Bellow
John J. Meng,Hugh L. Carey
Herman Levin,Mordecai M. Kaplan
Hugh Bryant,Les Paul
Harold W. Dodds,Robert F. Goheen
Leo Castelli,Andy Warhol
Marcel Ravidat,Guy Davenport
Meyer Schapiro,George Braziller
Hubert Sumlin,Willie Dixon
Stanislaw Skrowaczewski,Antal Dorati
La Verne Duffy,James R. Hoffa
Barbara Piasecka Johnson,Marie M. Lambert
Stephen E. Smith,Theodore H. White
Elizabeth Wood,Nixon Administrations
Nedda Casson Anders,George Anders
Claude Hopkins,Vic Dickenson
Gladys Marin,Fidel Castro
Tatyana M. Velikanova,Mikhail S. Gorbachev
Samuel A. Hausman,Jacob K. Javits
Dean Jones,Barbara Stanwyck
William Barry Furlong,Georg Solti
Rudolf Slansky,Vaclav Havel
John Drummond,Rudolf Bing
Peter Hujar,Charles Ludlam
Ted Lamb,Orval E. Faubus
Sol C. Chaikin,David Dubinsky
Monica Zetterlund,Thad Jones
Betty Elder Thomas,Piri Thomas
Alice Faye,Tony Martin
Monique James,David Hartman
Eugenie Leontovich,Lana Turner
Paul Gleason,Lee Strasberg
Mina Bern,Miriam Kressyn
Alan Hewitt,Lynn Fontanne
Margot Austin,Darrel Austin
William Diamond,Ettore Sottsass
Ernie Ladd,Eddie Robinson
Daniel K. Ludwig,Richard M. Nixon
John A. McCone,Lyndon B. Johnson
Joyce Chen,James Beard
Joe Garagiola,Jerry Coleman
Georgia Frontiere,Dave Garroway
Claudio Sanchez Albornoz,Buenos Aires
George C. Dade,Richard E. Byrd
Michael Gordon,Edward Dmytryk
Eben Pyne,Ronald Reagan
Drew Middleton,James Reston
William Turnage,John F. Kennedy
Beth Fallon,George Steinbrenner
World War II,Ingrid Bergman
Harry Cooper,Paul Runyan
Ray S. Smith,Orval E. Faubus
William P. Gottlieb,Howard McGhee
Sarah Vaughan,Oscar Peterson
Mary D. Crisp,George Bush
Mina Curtiss,Lincoln Kirstein
Barry M. Goldwater,John F. Kennedy
Donald W. Pritchard,Stony Brook
Mary McGrory,Joseph R. McCarthy
Benjamin S. Rosenthal,Gerald R. Ford
Harold Shaw,John Williams
Juan Ramon Masoliver,Salvador Dali
Eunice Kennedy Shriver,Rose Fitzgerald Kennedy
Giorgio Cavallon,Hans Hofmann
Cecil Lewis,George Bernard Shaw
Janos Starker,Joseph Papp
Simon Michael Bessie,John Cheever
Eddie Shu,George Shearing
George Crews McGhee,Curtis E. LeMay
Liz Carpenter,Lady Bird Johnson
Maurice Victor Macmillan,Harold Macmillan
